# Blocked IJK
# |Matrix|	|Block|	Time / straight-forward	Time /  blocked	Time /  dgemm 
50	2	0.001728	0.002292	0.002351
50	5	0.001742	0.002156	0.000575
50	10	0.001969	0.002344	0.000331
100	5	0.013452	0.017792	0.004812
100	10	0.013417	0.017832	0.002805
100	20	0.013346	0.017548	0.002674
500	5	4.093077	2.589791	1.108811
500	10	3.975883	2.311699	0.46009
500	20	4.061668	2.230458	0.423325
500	50	4.103544	2.194383	0.314732
1000	5	32.692186	21.335487	7.811334
1000	10	32.900493	19.119611	4.422699
1000	50	32.806413	17.282943	2.553168
1000	100	32.740458	24.899779	2.610839


