# LOG :	Values-20140715.171930-A1-Bkij-1D-0.txt 
	Created on 20140715.171930 by pdwan.
# RUNNING : 	./A1-Bkij-1D-cblas -i 10 2 
# Initialize matrix <10> x <10> |A| ... 
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
# Initialize matrix <10> x <10> |B| ... 
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
# Initialize matrix <10> x <10> |C|  for Straight-forward KIJ manual computation .. 
# |C| : <10> x <10> matrix computed values : MANUAL straightforward KIJ ... 
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
# |C| : matrix calculated in 0.000034 seconds ... 
# Initialize matrix <10> x <10> |C|, for blocked J+KIJ computation .. 
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
# |C| : <10> x <10> matrix computed values : MANUAL computation ... 
# |C| : matrix calculated in 0.000021 seconds ... 
15	30	105	140	275	330	525	600	855	950	
15	30	105	140	275	330	525	600	855	950	
15	30	105	140	275	330	525	600	855	950	
15	30	105	140	275	330	525	600	855	950	
15	30	105	140	275	330	525	600	855	950	
15	30	105	140	275	330	525	600	855	950	
15	30	105	140	275	330	525	600	855	950	
15	30	105	140	275	330	525	600	855	950	
15	30	105	140	275	330	525	600	855	950	
15	30	105	140	275	330	525	600	855	950	
# Initialize matrix <10> x <10> |C|, for CBLAS/ATLAS KIJ computation ... 
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
# |C| : <10> x <10> matrix computed values using CBLAS/ATLAS KIJ computation ... 
# |C| : calculated in 0.000024 seconds... 
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
