# LOG :	Values-20140715.172124-A1-Bijk-1D-0.txt 
	Created on 20140715.172124 by pdwan.
# RUNNING : 	./A1-Bijk-1D-cblas -i 10 2 
# Initialize matrix <10> x <10> |A| ... 
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
# Initialize matrix <10> x <10> |B| ... 
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
1	2	3	4	5	6	7	8	9	10	
# Initialize matrix <10> x <10> |C|  for Straight-forward IJK manual computation .. 
# |C| : <10> x <10> matrix computed values : MANUAL straightforward IJK ... 
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
# |C| : matrix calculated in 0.000030 seconds ... 
# Initialize matrix <10> x <10> |C|  for Blocked IJK manual computation .. 
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
# |C| : <10> x <10> matrix computed values : blocked IJK computation ... 
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
# |C| : matrix calculated in 0.000036 seconds ... 
# Initialize matrix <10> x <10> |C| for  CBLAS/ATLAS KIJ computation... 
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	
# |C| : <10> x <10> matrix computed values using CBLAS/ATLAS KIJ computation... 
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
55	110	165	220	275	330	385	440	495	550	
# |C| : calculated in 0.000050 seconds... 
