# --------------------------------------------------------------------------------------------------
# 
# Program :	A2-pthreads-manual 
# where :	.dat contains timing data & .txt contains matrix values 
# 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	Time/manual 	Inf Norm/manual 	Time/dgemm 	Inf Norm/dgemm 
# 
50 	0.001194 	1625625.0 	0.000273 	1625625.0 
50 	0.001662 	1625625.0 	0.000274 	1625625.0 
50 	0.001197 	1625625.0 	0.000284 	1625625.0 
50 	0.001198 	1625625.0 	0.000274 	1625625.0 
50 	0.001202 	1625625.0 	0.000273 	1625625.0 
50 	0.001203 	1625625.0 	0.000273 	1625625.0 
100 	0.015590 	25502500.0 	0.002003 	25502500.0 
100 	0.009303 	25502500.0 	0.001977 	25502500.0 
100 	0.009298 	25502500.0 	0.001981 	25502500.0 
100 	0.009405 	25502500.0 	0.001979 	25502500.0 
100 	0.009290 	25502500.0 	0.001989 	25502500.0 
100 	0.009297 	25502500.0 	0.001990 	25502500.0 
