# --------------------------------------------------------------------------------------------------
# 
# Program :	A2-pthreads-manual 
# where :	.dat contains timing data & .txt contains matrix values 
# 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	Time/manual 	Inf Norm/manual 	Time/dgemm 	Inf Norm/dgemm 
# 
50 	0.001198 	89502.0 	0.000277 	89502.0 
150 	0.031242 	772112.0 	0.006532 	772112.0 
200 	0.094799 	1322244.0 	0.016427 	1322244.0 
250 	0.285936 	2081836.0 	0.059638 	2081836.0 
300 	0.597465 	3011393.0 	0.133201 	3011393.0 
350 	0.996649 	4095433.0 	0.223727 	4095433.0 
400 	1.081898 	5225598.0 	0.331603 	5225598.0 
450 	2.195723 	6598115.0 	0.474050 	6598115.0 
500 	3.051341 	8117937.0 	0.647024 	8117937.0 
550 	4.164886 	9746097.0 	0.862614 	9746097.0 
600 	4.426588 	11584750.0 	1.114165 	11584750.0 
650 	6.704661 	13574185.0 	1.412377 	13574185.0 
700 	8.479324 	15701890.0 	1.761060 	15701890.0 
750 	10.389538 	18100461.0 	2.169991 	18100461.0 
800 	10.622015 	20461090.0 	2.646453 	20461090.0 
850 	15.084184 	23321446.0 	3.156021 	23321446.0 
900 	18.183891 	25890261.0 	3.751744 	25890261.0 
950 	21.633958 	28863806.0 	4.388081 	28863806.0 
1000 	20.132292 	31896067.0 	5.122467 	31896067.0 
