# --------------------------------------------------------------------------------------------------
# 
# Program :	A4-mpi-manual 
# where :	.dat contains timing data & .txt contains matrix values 
# 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	Time/manual 	Inf Norm/manual 	Time/dgemm 	Inf Norm/dgemm 
# 
50 	0.001202 	89502.0 	0.000280 	89502.0 
50 	0.001196 	89502.0 	0.000276 	89502.0 
50 	0.001191 	89502.0 	0.000278 	89502.0 
100 	0.009326 	353266.0 	0.001976 	353266.0 
100 	0.009313 	353266.0 	0.001984 	353266.0 
100 	0.009330 	353266.0 	0.001985 	353266.0 
500 	3.039778 	8117937.0 	0.660509 	8117937.0 
500 	3.030908 	8117937.0 	0.644442 	8117937.0 
500 	3.052243 	8117937.0 	0.645495 	8117937.0 
500 	3.028897 	8117937.0 	0.649714 	8117937.0 
1000 	21.223333 	31896067.0 	5.537096 	31896067.0 
1000 	20.835579 	31896067.0 	5.389093 	31896067.0 
1000 	20.613177 	31896067.0 	5.260293 	31896067.0 
1000 	20.402660 	31896067.0 	5.315662 	31896067.0 
