# --------------------------------------------------------------------------------------------------
# 
# Program : 	A4-mpi-solo 
# where : 	.dat contains timing data & .txt contains matrix values
# 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	|Processors| 	Time/mpi 	Inf Norm/mpi 	Time/manual 	Inf Norm/manual
# 
50 	5 	0.009046 	83811.0 	0.001087 	83811.0 
50 	5 	0.008892 	83811.0 	0.001089 	83811.0 
50 	5 	0.008990 	83811.0 	0.001090 	83811.0 
100 	5 	0.037635 	338563.0 	0.008447 	338563.0 
100 	5 	0.037697 	338563.0 	0.008454 	338563.0 
100 	5 	0.037666 	338563.0 	0.008524 	338563.0 
500 	5 	1.327586 	8078358.0 	2.380195 	8078358.0 
500 	5 	1.337290 	8078358.0 	2.325706 	8078358.0 
500 	5 	1.344111 	8078358.0 	2.391962 	8078358.0 
500 	5 	1.321970 	8078358.0 	2.391503 	8078358.0 
1000 	5 	7.248157 	31600720.0 	17.150734 	31600720.0 
1000 	5 	7.149565 	31600720.0 	17.163936 	31600720.0 
1000 	5 	7.054564 	31600720.0 	17.165722 	31600720.0 
1000 	5 	7.085431 	31600720.0 	17.121745 	31600720.0 
