# --------------------------------------------------------------------------------------------------
# 
# Program : 	A4-mpi-solo 
# where : 	.dat contains timing data & .txt contains matrix values
# 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	|Processors| 	Time/mpi 	Inf Norm/mpi 	Time/manual 	Inf Norm/manual
# 
50 	5 	0.009033 	75625.0 	0.001095 	75625.0 
50 	5 	0.008928 	75625.0 	0.001123 	75625.0 
50 	5 	0.008975 	75625.0 	0.001087 	75625.0 
100 	5 	0.038091 	1102500.0 	0.008466 	1102500.0 
100 	5 	0.038131 	1102500.0 	0.008528 	1102500.0 
100 	5 	0.038197 	1102500.0 	0.008449 	1102500.0 
500 	5 	1.358874 	637562500.0 	2.393659 	637562500.0 
500 	5 	1.367390 	637562500.0 	2.380557 	637562500.0 
500 	5 	1.362464 	637562500.0 	2.319429 	637562500.0 
500 	5 	1.358222 	637562500.0 	2.378163 	637562500.0 
1000 	5 	7.291051 	10100250000.0 	17.179521 	10100250000.0 
1000 	5 	7.340551 	10100250000.0 	17.143703 	10100250000.0 
1000 	5 	7.283727 	10100250000.0 	17.212086 	10100250000.0 
1000 	5 	7.353827 	10100250000.0 	17.172394 	10100250000.0 
