# --------------------------------------------------------------------------------------------------
# 
# Program : 	A4-mpi-1D 
# where : 	.dat contains timing data & .txt contains matrix values 
# --------------------------------------------------------------------------------------------------
# 
# |Matrix| 	Time/mpi 	Inf Norm/mpi 	Time/dgemm 	Inf Norm/dgemm 	Time/manual 	Inf Norm/manual
# 
50 	0.003535 	89502.0 	0.000283 	89502.0 	0.001218 	89502.0
50 	0.003171 	89502.0 	0.000291 	89502.0 	0.001213 	89502.0
50 	0.003371 	89502.0 	0.000291 	89502.0 	0.001416 	89502.0
50 	0.003229 	89502.0 	0.000294 	89502.0 	0.001222 	89502.0
50 	0.003600 	89502.0 	0.000473 	89502.0 	0.001219 	89502.0
50 	0.003137 	89502.0 	0.000346 	89502.0 	0.001243 	89502.0
100 	0.018312 	353266.0 	0.002036 	353266.0 	0.009453 	353266.0
100 	0.018784 	353266.0 	0.002073 	353266.0 	0.009721 	353266.0
100 	0.017696 	353266.0 	0.002081 	353266.0 	0.009549 	353266.0
100 	0.017157 	353266.0 	0.002288 	353266.0 	0.009491 	353266.0
100 	0.017468 	353266.0 	0.002087 	353266.0 	0.009469 	353266.0
100 	0.017209 	353266.0 	0.001991 	353266.0 	0.010139 	353266.0
